possession_pct,shots_on_target,avg_goals_scored,home_advantage,result
45.1,7,1.8,0,0
59.1,6,1.3,0,1
50.3,4,1.1,1,1
52.8,7,2.4,1,1
50.1,5,1.3,0,0
53.4,5,3.0,1,1
54.2,8,1.5,0,1
30.6,0,2.6,1,0
56.7,2,1.7,1,1
40.2,2,2.1,1,1
35.6,4,0.9,1,0
49.4,4,0.8,0,1
50.8,2,1.7,1,1
43.1,3,2.1,1,1
58.3,3,1.4,1,0
36.6,10,0.5,0,1
45.9,9,0.4,0,0
44.2,4,0.4,0,0
49.5,4,0.2,0,0
52.8,2,1.5,0,0
39.9,1,2.2,0,0
57.2,5,1.4,1,1
50.6,3,0.0,0,0
31.1,5,1.3,1,0
30.4,1,1.3,1,0
49.9,3,2.9,1,1
47.8,5,0.4,0,0
49.0,6,1.1,0,0
49.7,6,2.6,1,1
52.3,2,1.7,1,1
59.5,7,1.8,0,1
38.9,3,1.5,1,0
38.3,6,1.6,1,1
39.1,5,1.9,1,1
52.9,2,0.8,0,0
62.4,4,2.0,1,1
45.7,6,0.4,0,0
25.0,6,1.6,1,0
